iter	MultiClass
0	2.301577974
1	2.300336236
2	2.299099284
3	2.298048945
4	2.296928362
5	2.295808687
6	2.295111405
7	2.294287411
8	2.293059313
9	2.292220672
10	2.291210292
11	2.290196687
12	2.289404907
13	2.288290279
14	2.287538056
15	2.286487547
16	2.285602385
17	2.284765738
18	2.283731489
19	2.282674957
20	2.281533447
21	2.280662523
22	2.279927962
23	2.279206575
24	2.278288694
25	2.27728593
26	2.276634372
27	2.275605179
28	2.274868274
29	2.274085719
30	2.273498186
31	2.27273971
32	2.271664611
33	2.270605532
34	2.269776396
35	2.268836204
36	2.268296912
37	2.267681716
38	2.26722873
39	2.266610895
40	2.265619418
41	2.264756249
42	2.264710865
43	2.263581027
44	2.262971151
45	2.262533516
46	2.261670451
47	2.260912198
48	2.25982468
49	2.259015938
50	2.257988454
51	2.256987503
52	2.25609427
53	2.255364547
54	2.254639427
55	2.253768269
56	2.252762386
57	2.251996798
58	2.251240973
59	2.25059948
60	2.249863197
61	2.248982316
62	2.247915226
63	2.247269796
64	2.246446288
65	2.245856713
66	2.245050657
67	2.244237738
68	2.243537997
69	2.242872783
70	2.241989877
71	2.241331459
72	2.240617193
73	2.23994824
74	2.238966244
75	2.238361138
76	2.237769136
77	2.236853808
78	2.236205853
79	2.235679165
80	2.234752898
81	2.233896676
82	2.233026432
83	2.232319059
84	2.231661214
85	2.230665905
86	2.230070635
87	2.229310837
88	2.228759489
89	2.227830868
90	2.226896296
91	2.226394803
92	2.225854955
93	2.225253587
94	2.224565799
95	2.224040085
96	2.223293106
97	2.222588477
98	2.221894472
99	2.221114487
100	2.220301081
101	2.219335386
102	2.218719245
103	2.218236267
104	2.217611024
105	2.216756985
106	2.215816515
107	2.21519746
108	2.21428677
109	2.213698011
110	2.212862155
111	2.212184989
112	2.211442179
113	2.210829117
114	2.210240987
115	2.209616321
116	2.209110777
117	2.20848537
118	2.207954776
119	2.207154528
120	2.206630051
121	2.206005817
122	2.205428071
123	2.204899885
124	2.204205347
125	2.203231242
126	2.202717501
127	2.202256582
128	2.201668154
129	2.201123001
130	2.200464745
131	2.20006102
132	2.199489509
133	2.198974528
134	2.198460701
135	2.19791625
136	2.197349631
137	2.196761394
138	2.19615351
139	2.195488864
140	2.194898424
141	2.194266433
142	2.193891924
143	2.193243519
144	2.192756025
145	2.192240192
146	2.191702672
147	2.19117621
148	2.190377673
149	2.189810271
150	2.189161487
151	2.188415033
152	2.18781591
153	2.187235971
154	2.186712144
155	2.186002994
156	2.18525174
157	2.1846693
158	2.184142848
159	2.183286367
160	2.182648694
161	2.182279856
162	2.181410622
163	2.180942272
164	2.18026992
165	2.17977856
166	2.179178085
167	2.178552704
168	2.178006882
169	2.177236182
170	2.176456164
171	2.175882878
172	2.175097007
173	2.174443387
174	2.173905528
175	2.173356285
176	2.172926254
177	2.172271037
178	2.171710323
179	2.171173625
180	2.170649597
181	2.170035359
182	2.169176613
183	2.168647602
184	2.167863561
185	2.167377424
186	2.166884223
187	2.166368006
188	2.16596585
189	2.16547633
190	2.1649958
191	2.164300806
192	2.163757843
193	2.163028089
194	2.162528809
195	2.161825589
196	2.161157136
197	2.160481669
198	2.159719149
199	2.159193704
