iter	Passed	Remaining
0	161	32125
1	177	17592
2	190	12526
3	204	10005
4	216	8449
5	230	7437
6	242	6695
7	255	6132
8	268	5700
9	281	5343
10	293	5050
11	305	4786
12	317	4572
13	329	4378
14	340	4202
15	350	4028
16	360	3878
17	369	3733
18	378	3601
19	386	3481
20	395	3374
21	404	3276
22	414	3187
23	422	3099
24	431	3018
25	439	2943
26	448	2876
27	458	2816
28	467	2755
29	476	2701
30	485	2646
31	494	2594
32	503	2548
33	512	2503
34	521	2458
35	530	2417
36	539	2377
37	550	2346
38	559	2310
39	568	2275
40	578	2242
41	587	2208
42	593	2165
43	602	2135
44	611	2106
45	620	2077
46	629	2048
47	638	2020
48	647	1995
49	656	1969
50	665	1944
51	674	1919
52	684	1898
53	693	1875
54	702	1851
55	711	1828
56	719	1805
57	728	1782
58	736	1760
59	745	1738
60	753	1717
61	762	1696
62	770	1676
63	779	1655
64	787	1635
65	796	1616
66	804	1596
67	812	1576
68	820	1558
69	828	1539
70	837	1521
71	845	1503
72	854	1486
73	862	1469
74	871	1452
75	879	1435
76	888	1418
77	897	1403
78	905	1386
79	913	1370
80	921	1354
81	930	1338
82	938	1323
83	947	1308
84	955	1292
85	964	1277
86	972	1263
87	981	1248
88	989	1234
89	998	1220
90	1007	1206
91	1015	1192
92	1025	1179
93	1035	1167
94	1045	1155
95	1054	1141
96	1063	1128
97	1071	1115
98	1079	1101
99	1088	1088
100	1097	1075
101	1105	1062
102	1114	1049
103	1123	1037
104	1132	1024
105	1141	1011
106	1149	999
107	1157	986
108	1166	973
109	1174	961
110	1184	949
111	1192	937
112	1201	925
113	1210	912
114	1218	900
115	1227	888
116	1236	877
117	1245	865
118	1254	853
119	1262	841
120	1271	829
121	1279	817
122	1288	806
123	1296	794
124	1304	782
125	1312	770
126	1320	759
127	1328	747
128	1337	736
129	1345	724
130	1353	713
131	1362	701
132	1370	690
133	1378	678
134	1386	667
135	1394	656
136	1403	645
137	1411	634
138	1419	623
139	1427	611
140	1435	600
141	1444	590
142	1453	579
143	1462	568
144	1471	558
145	1480	547
146	1489	536
147	1497	526
148	1506	515
149	1515	505
150	1524	494
151	1533	484
152	1542	473
153	1553	463
154	1562	453
155	1570	443
156	1579	432
157	1589	422
158	1597	412
159	1607	401
160	1615	391
161	1624	381
162	1633	370
163	1642	360
164	1651	350
165	1659	339
166	1669	329
167	1678	319
168	1686	309
169	1695	299
170	1704	289
171	1713	278
172	1721	268
173	1730	258
174	1739	248
175	1747	238
176	1756	228
177	1764	218
178	1773	208
179	1781	197
180	1790	187
181	1799	177
182	1808	167
183	1817	158
184	1825	148
185	1834	138
186	1843	128
187	1853	118
188	1861	108
189	1870	98
190	1878	88
191	1886	78
192	1894	68
193	1902	58
194	1910	48
195	1918	39
196	1926	29
197	1934	19
198	1942	9
199	1950	0
